0.0001,0.0001
3.74,0.4
10.64,0.41
12.46,0.42
15.63,0.45
18.85,0.5
22.97,0.6
25.93,0.7
32.35,1
40.06,1.5
46.02,2
51.76,2.5
56.94,3
66.87,4
73.15,4.63
83.15,5.775
93.15,6.775
103.15,7.835
113.15,8.885
123.15,9.93
133.15,10.97
143.15,12
153.15,13.0275
163.15,14.0475
173.15,15.065
183.15,16.075
193.15,17.0825
203.15,18.0825
213.15,19.085
223.15,20.08
233.15,21.0725
243.15,22.0575
253.15,23.04
263.15,24.0225
273.15,25
283.15,25.975
293.15,26.9475
303.15,27.9175
313.15,28.885
323.15,29.85
333.15,30.81
343.15,31.77
353.15,32.725
363.15,33.6775
373.15,34.6275
393.15,36.5175
413.15,38.395
433.15,40.2625
453.15,42.12
473.15,43.965
493.15,45.9475
513.15,47.6175
533.15,49.4275
553.15,51.225
573.15,53.0125
598.15,55.23
623.15,57.43
648.15,59.61
673.15,61.7725
698.15,63.9175
723.15,66.045
773.15,70.245
823.15,74.3725
873.15,78.43
923.15,82.41
973.15,86.32
