


		Rh/Fe THERMOMETER CALIBRATION FILE
		----------------------------------

Temperature K	Resistance in ohms

          NEXT SENSOR
1.604 2.06733
1.992 2.13099
2.406 2.19668
2.816 2.25927
3.213 2.31744
3.624 2.37536
4.013 2.42782
4.225 2.45569
4.595 2.50280
5.401 2.59957
6.255 2.69396
7.036 2.77403
8.024 2.86751
9.049 2.95653
10.032 3.03544
11.042 3.11059
13.034 3.24406
14.045 3.30548
16.050 3.41711
17.975 3.51367
20.035 3.60823
22.488 3.71208
25.205 3.82008
27.445 3.90636
30.231 4.01415
35.214 4.21636
40.116 4.43928
50.311 5.00752
60.322 5.71216
70.251 6.53479
80.430 7.47348
90.102 8.42561
100.171 9.45473
125.805 12.13754
152.218 14.88940
175.346 17.25733
200.471 19.78861
225.611 22.29060
250.391 24.73850
272.893 26.95383
300.621 29.68327
    325.00000     32.08881
    350.00000     34.55270
    375.00000     37.01659
    400.00000     39.48049
 
(******************************************************************************)
 
          NEXT SENSOR
 
        540
1.504 2.02052
2.005 2.10324
2.406 2.16691
2.799 2.22697
3.209 2.28716
4.010 2.39795
4.222 2.42567
4.625 2.47689
5.414 2.57143
7.024 2.74341
8.011 2.83692
10.012 3.00451
13.033 3.21477
16.016 3.38614
20.035 3.57903
25.047 3.78479
27.364 3.87420
30.165 3.98244
35.068 4.18143
40.148 4.41245
50.197 4.97325
60.339 5.68827
70.256 6.51227
80.171 7.42852
85.664 7.96461
90.184 8.41696
100.298 9.45429
125.209 12.07005
149.960 14.65991
175.075 17.24247
200.151 19.77820
225.346 22.29509
250.483 24.78715
272.908 27.00315
273.329 27.04474
300.493 29.72882
    325.00000     32.15583
    350.00000     34.62890
    375.00000     37.10196
    400.00000     39.57502
 
(******************************************************************************)
 
          NEXT SENSOR
 
        541
1.504 2.03199
2.005 2.11477
2.406 2.17877
2.799 2.23899
3.209 2.29917
4.010 2.41008
4.222 2.43795
4.625 2.48922
5.414 2.58389
7.024 2.75616
8.011 2.84983
10.012 3.01771
13.033 3.22825
16.016 3.39980
20.035 3.59295
25.047 3.79905
27.364 3.88856
30.166 3.99702
35.068 4.19625
40.148 4.42746
50.197 4.98881
60.339 5.70446
70.256 6.52892
80.171 7.44535
90.184 8.43391
100.299 9.47122
125.209 12.08644
149.960 14.67535
175.076 17.25672
200.151 19.79102
225.346 22.30663
250.483 24.79745
272.908 27.01217
273.329 27.05376
300.493 29.73626
    325.00000     32.16200
    350.00000     34.63370
    375.00000     37.10540
    400.00000     39.57710
 
(******************************************************************************)
 
          NEXT SENSOR
 
        545
1.504 2.04261
2.005 2.12495
2.800 2.24898
3.209 2.30918
4.010 2.41998
4.222 2.44784
4.624 2.49898
5.414 2.59342
7.026 2.76547
8.010 2.85870
10.011 3.02618
