1.509,1.55089
2.006,1.63712
2.810,1.76887
3.214,1.83117
4.005,1.94593
4.213,1.97460
5.384,2.12574
7.027,2.31127
8.009,2.40964
9.013,2.50206
9.987,2.58486
12.898,2.79992
16.112,2.99540
20.114,3.19770
25.433,3.42691
27.408,3.50702
30.167,3.61883
35.050,3.82532
39.803,4.04837
50.071,4.63519
60.421,5.38303
70.241,6.21816
80.264,7.16391
90.311,8.17591
100.338,9.22334
125.589,11.91996
150.781,14.59535
175.841,17.20887
200.072,19.69309
226.682,22.38635
249.965,24.72446
273.149,27.04342
273.236,27.05210
301.023,29.82900
